dim1,dim2,channel,value
18,11,2,153.032
18,11,1,261.285
18,8,7,33.9735
18,8,4,12.3731
18,8,2,113.724
18,8,1,190.721
21,8,7,53.8086
21,8,2,127.18
21,8,1,217.637
21,11,7,76.0051
21,11,4,5.83939
21,11,2,197.845
21,11,1,265.765
21,14,7,83.3638
21,14,4,36.8337
21,14,2,181.875
21,14,1,187.938
21,17,7,43.4095
21,17,4,25.0516
21,17,2,90.2016
21,17,1,76.9195
21,5,7,12.3062
21,5,2,38.2997
21,5,1,90.3645
21,2,2,1.94198
21,2,1,13.5555
21,2,0,1.4567
24,2,5,0.34412
24,2,3,0.0790874
24,2,2,0.335145
24,2,1,2.49322
24,2,0,0.343699
24,5,2,7.35936
24,5,1,20.4933
24,8,7,4.6645
24,8,3,7.56838
24,8,2,30.2033
24,8,1,55.9464
24,11,7,14.9585
24,11,3,15.7901
24,11,2,41.1666
24,11,1,54.9218
9,20,7,58.0605
9,20,4,67.2125
9,20,2,143.487
9,20,1,111.119
12,5,7,5.13082
12,5,2,19.4704
12,5,1,71.1086
12,5,0,6.17694
12,8,7,30.1621
12,8,2,120.3
12,8,1,224.828
12,20,7,37.1229
12,20,4,51.8449
12,20,2,102.638
12,20,1,77.4434
15,5,7,2.45157
15,5,2,32.5003
15,5,1,96.0312
15,5,0,3.17488
15,8,7,45.7573
15,8,4,5.90648
15,8,2,128.257
15,8,1,196.042
18,5,7,14.1508
18,5,2,51.881
18,5,1,116.88
6,2,7,1.08905
6,2,2,0.317784
6,2,1,5.35812
6,2,0,1.97563
9,2,2,0.755804
9,2,1,7.75474
9,2,0,1.15626
9,5,7,5.00635
9,5,2,18.6778
9,5,1,53.2975
9,5,0,1.73186
12,2,2,0.348093
12,2,1,3.98812
12,2,0,0.989413
15,2,7,1.58348
15,2,1,6.56656
15,2,0,4.10547
15,11,7,51.2952
15,11,2,154.046
15,11,1,256.999
24,17,7,8.02287
24,17,4,4.50465
24,17,3,4.28528
24,17,2,14.415
24,17,1,10.7318
24,14,7,14.7563
24,14,4,3.28469
24,14,3,9.86044
24,14,2,33.8629
24,14,1,37.536
15,23,7,5.33488
15,23,4,12.8424
15,23,2,17.9927
15,23,1,8.92121
18,23,7,6.35454
18,23,4,6.64605
18,23,2,12.0899
18,23,1,4.52772
3,8,7,1.23454
3,8,4,1.22764
3,8,2,7.18701
3,8,1,25.5517
3,8,0,5.47555
9,23,7,7.37374
9,23,4,11.9573
9,23,2,18.9176
9,23,1,6.46928
3,2,7,0.181119
3,2,1,0.413086
3,2,0,0.339953
3,5,7,0.0063225
3,5,4,0.409345
3,5,2,1.28077
3,5,1,5.55235
3,5,0,1.51085
21,20,7,12.8904
21,20,4,9.97036
21,20,3,2.10067
21,20,2,24.2667
21,20,1,13.992
0,14,7,0.114618
0,14,4,0.959362
0,14,2,1.29379
0,14,1,5.45916
0,14,0,1.76162
0,17,4,4.90852
0,17,2,3.37714
0,17,1,5.96536
12,23,7,4.6812
12,23,4,11.1922
12,23,2,15.7478
12,23,1,4.69298
21,23,7,1.32906
21,23,4,1.34336
21,23,3,0.398303
21,23,2,2.2276
21,23,1,1.26706
18,2,2,0.881736
18,2,1,18.3812
18,2,0,6.39918
24,20,7,1.32416
24,20,4,0.795008
24,20,3,1.02936
24,20,2,2.33919
24,20,1,0.944417
24,23,7,0.0783482
24,23,4,0.162644
24,23,2,0.16448
24,23,1,0.0217095
0,20,4,0.514771
0,20,2,0.227044
0,20,1,0.142717
0,20,0,0.055542
0,11,4,0.377713
0,11,2,0.512631
0,11,1,1.15551
0,11,0,0.0248875
0,8,7,0.0762861
0,8,1,0.153586
0,8,0,0.13928
